Локация,Количество
Михалёво,1
с. Каменноозерское,1
г. Верхняя Салда,1
Кодинка,1
Новый Завод,1
Алапаевский район,1
восточная и центральная части Свердловской области,1
Верхнесалдинский район,1
Камышловский район,1
Красноуфимский район,1
Талицкий район,1
Сысертский район,1
город Каменск-Уральский,1
Ворошиловка,1
п. Березняки,1
Пыть-Ях,1
два зимника,1
ледовая переправа «Салехард – Лабытнанги»,1
зимник «Салехард – Надым»,1
Яр-Салинская тундра,1
п. Волоконовка,1
пгт.Надвоицы,1
Ермоловское лесничество,1
Курортный район,1
зеленогорский,1
п. Шушары,1
Западное кладбище,1
город Гатчина,1
Центр,1
Кукковка,1
Древлянка,1
Соломенное,1
Зашеек,1
Африканда,1
Кондопога,1
п. Плесо,1
д. Максимовская,1
д. Никольская,1
д. Рыбогорская,1
д.Остахино,1
д.Вяткинская,1
с. Шонга,1
Канонерский остров,1
Школа № 2,1
Школа № 25,1
деревни Целегора,1
п. Ушково,1
Казанское кладбище,1
Александровский сельсовет,1
Сокольский район,1
Замоскворецкая линия московского метро,1
Суражский район,1
Карачевский район,1
Севский район,1
Рогнединский район,1
Суражское участковое лесничество квартал 7 выдел 22,1
район Учебно-опытного лесничества,1
квартал 106,1
квартал 37,1
Тростнянское участковое лесничество,1
Суземский лесничество,1
метро станция 'Измайловская',1
метро станция 'Первомайская',1
городской округ Лотошино,1
п. Быково,1
населенный пункт Маяк,1
Шелемишево,1
река Чернявка,1
Пионерская Роща,1
Рачатники,1
с. Борки,1
г. Шацк,1
Ширино,1
с. Кривель,1
п. Шелемишево,1
Песочня,1
с. Подвислово,1
квартал 9,1
район СНТ «Восток-4»,1
Фадеенки,1
Жарковский,1
Заиловье,1
Авдеево,1
Виноколы,1
д. Раслово,1
Озерки,1
Торопец,1
Власовка,1
Большие Алабухи,1
д. Кузьминская,1
Пречичтинское лесничество,1
Ярославское лесничество,1
Иванцево,1
Обухово,1
Брянская,1
Трубчевский  район,1
парк,1
микрорайон КМДК,1
микрорайон Вересники,1
Баладиха,1
городские округа Бронницы,1
г.Пушкино,1
подмосковье,1
территория Московской области,1
территория Орловской области,1
Город Касимов,1
Клепиковский  район,1
отдельные районы Тверской области,1
Беловское поселение,1
п. Разумное,1
Крутологское,1
Стрелецкое,1
Малиновское поселение,1
Комсомольское поселение,1
Весёлолопанское,1
Яснозоренское,1
Новосадовское поселение,1
Валуйский город,1
район «Скорой помощи»,1
Корочанская,1
Прохоровка,1
Прохоровский район,1
Гордеевский район,1
город Клинцы,1
с. Большое Каринское,1
п. им. Максима Горького,1
индустриальный парк,1
п. имени Максима Горького,1
Клязьминское поселение,1
Малыгинское поселение,1
Достижение,1
Старая,1
Санниково,1
Клязьминский городок,1
Гигант,1
Большие Всегодичи,1
Болотский п.,1
город Муром,1
Семилуки,1
во дворах,1
в парках,1
на улицах,1
Московская железная дорога,1
Северное Медведково,1
Алексеевский район,1
Бабушкинский район,1
Победа,1
микрорайон Терепец,1
микрорайон Черёмушки,1
микрорайон Черемушки,1
с. Льва Толстого,1
с. Дворцы,1
д. Жилетово,1
Рубцы,1
кладбище,1
город Мосальск,1
Горшечное,1
Кореневский,1
Северо-Западный район,1
д. Амосовка,1
х. Барыбин,1
х. Тарусовка,1
х. Знаменка,1
х. Аксеновка,1
с. Н.Дубовец,1
с. Кленовое,1
х. Плесы,1
х. Ленинская искра,1
с. Чермошное,1
п. Медвенка,1
Липецкая,1
микрорайон Школьный,1
с. Осташево,1
Рогачево,1
город Долгопрудный,1
п. Павлова,1
Клеменово,1
Колычёво,1
Селиваниха,1
Тимошино,1
городской округ Егорьевск,1
д. Пятница,1
п. Зендиково,1
д. Барабаново,1
п. Большое Руново,1
д. Тарасково,1
д. Колтово,1
д. Топканово,1
п. Маслово,1
Решетниково,1
Решоткино,1
Спас-Заулок,1
Колычево,1
Ковровый,1
Бузланово,1
Захарково,1
Дмитровский,1
СНТ «Дружба»,1
Изумрудные холмы,1
Андреевское,1
Суханово,1
Молоково,1
Володарского,1
Развилка,1
Дрожжино,1
п. Новодрожжино,1
ЖК Восточное Бутово,1
городской округ Лобня,1
площадки,1
дворы,1
д. Мастищево,1
сельское поселение Давыдовское,1
Дрезна,1
Куровское,1
Ликино-Дулёво,1
д. Северово,1
г. Пушкино,1
некоторые населённые пункты Рузского городского округа,1
Поварово,1
микрорайон Рекинцо,1
озеро Сенеж,1
г. о. Химки,1
г.о. Щёлково,1
музей-заповедник «Спасское-Лутовиново»,1
город Шацк,1
Демидов,1
город Демидов,1
Дорогобуж,1
Верхнеднепровское,1
Ельнинское лесничество,1
Печерск,1
Кощино,1
Жердевский район,1
город Жердевка,1
Мордовский район,1
р.п. Первомайский,1
т.н.,1
Старообрядческое кладбище,1
город Венёва,1
район Ефремов,1
Заокский,1
д. Брусяновка,1
д. Иконки,1
д. Шондрово,1
д. Любогощи,1
Приупское,1
д. Бронники,1
С.Кошино,1
С.Новоселебное,1
П.Шварцевский,1
Липки,1
город Киреевск,1
МКУ «ДК МО Славный»,1
р.п. Теплое,1
сельские населенные пункты,1
д. Долматово,1
д. Медвежка,1
п. Липицы,1
с. Новое Покровское,1
д. Кресты,1
п. Чернь,1
д. Черносвитово,1
д. Башино,1
д. Кузьмищево,1
с. Машково,1
д. Белугино,1
д. Григорьевское,1
п. Спицинский,1
Харино,1
Воловниково,1
Периково,1
Спицинский,1
Верхнее Красино,1
Мокрый Корь,1
Зыбино,1
Заикино,1
Тележенка,1
Горшкова,1
Федяшево,1
п. Октябрь,1
бассейн Амура,1
реки Биджан,1
Большой Ин,1
Волочаевка – 2,1
с. Кедрово,1
с. Венюково,1
город Амурск,1
Город юности,1
метеостанция Бурукан,1
с. Нижнетамбовское,1
п. Пасека,1
п. Улика,1
Лермонтовское лесничество,1
п. Тымовское,1
г. Александровск-Сахалинский,1
с. Песчанское,1
п. Усть-Карск,1
Хилка,1
Лес,1
Дачные участки,1
Лесопарковая зона,1
кафе «Жемчужина»,1
п. имени Менделеева,1
селo Казакевичево,1
селo Новокуровка,1
р. Ильинка,1
с. Кошевое,1
с. Пильво,1
пгт. Смирных,1
с. Онор,1
с. Буюклы,1
Черняево,1
Ленинское сельское поселение,1
с. Чурки,1
с. Воскресеновка,1
Смидовичский  район,1
Биликтуй,1
Передняя-Бырка,1
Новоборзинское,1
Южное,1
Приозерное,1
с. Байгул,1
железнодорожный мост через реку Ареда,1
перегон Куэнга-Укурей,1
с.Муравейка,1
Анучино,1
г. Артём,1
п. Находка,1
г. Дальнегорск,1
ул. Ленинская-Центральная,1
ул. Партизанская,1
ул. Фабричная,1
с. Авангард,1
зверосовхоз 'Тигровый',1
Южный водозабор,1
водозабор Мельники,1
п. Моряк-Рыболов,1
с. Лукьяновка,1
с. Гоголевка,1
с. Вербовка,1
дорога Ратное–Ястребовка,1
участок Борисовка–Кугуки–Линевичи–Утесное,1
пгт. Терней,1
Николо-Львовское,1
Боголюбовка,1
Доброполье,1
промзона,1
с. Рязановка,1
Нерпа,1
Сухановка,1
с. Яковлевка,1
Христофоровка,1
с. Вал,1
Ныш,1
Катангли,1
Вал,1
Тунгор,1
Некрасовка,1
с. Такое,1
с. Сокол,1
Буре,1
Тунгуске,1
Куре,1
Амгуни,1
Нимелене,1
Нижнем Амуре,1
с. Галиахметово,1
д. Подлесные Чурачики,1
Пижанка,1
Казаково,1
Новые Щеглята,1
д. Таборы,1
Лузский район,1
Кумёнский район,1
д. Конево,1
с. Шилокша,1
с. Новое Урюпино,1
с. Мадаево,1
п. Новое Щербинино,1
п. Старое Щербинино,1
р. Уста,1
подсобное хозяйство «Кудьма»,1
Вахтан,1
с. Ломовка,1
р. Алатырь,1
река Пьяна,1
Дальнеконстантиновское районное лесничество,1
Суроватинское участковое лесничество,1
Коневское участковое лесничество,1
Каргинское участковое лесничество,1
Ковернинское участковое лесничество,1
Козинское участковое лесничество,1
Личадеевское участковое лесничество,1
Арьевское участковое лесничество,1
Михайловское районное лесничество,1
Каменское участковое лесничество,1
Балахнинское межрайонное лесничество,1
Мухтоловское участковое лесничество,1
Тешинское участковое лесничество,1
Уренский район,1
Лысковское районное лесничество,1
Валковское участковое лесничество,1
Навашинское районное лесничество,1
Навашинское участковое лесничество,1
Пижемское районное лесничество,1
Пижемское участковое лесничество,1
Павловское районное лесничество,1
Афанасьевское участковое лесничество,1
Велетьменское участковое лесничество,1
Варнавинское участковое лесничество,1
Павловское участковое лесничество,1
Сокольское участковое лесничество,1
п. Решетиха,1
река Большой Уран,1
с. Боголюбовка,1
Белогорское,1
п. Багаевка,1
Таскала,1
с. Хватовка,1
с. Арзянка,1
Южно-Какможский,1
Волипельгинское участковое лесничество,1
Кузьминское участковое лесничество,1
Якшур - Бодьинский район,1
квартал 21 выдел 31,1
Люкшудьинское участковое лесничестvo,1
Черновское участковое лесничество,1
ФГБУ «Национальный парк «Нечкинский»,1
квартал 33,1
выдел 8,1
Архангельское участковое лесничество,1
Юкаменское лесничество,1
Северное участковое лесничество,1
Национальный парк «Нечкинский»,1
Областновское участковое лесничество,1
г.Новоульяновск,1
Тиинское участковое лесничество,1
Крутецкое участковое лесничество,1
Кувайское участковое лесничество,1
Мелекесское участковое лесничество,1
Лебяжинское участковое лесничество,1
Жедяевское участковое лесничество,1
Старомайнское участковое лесничество,1
площадь этих районов,1
г.о Саранск,1
г. Саров,1
Холодные Ключи,1
участок автомобильной дороги Бугульма-Бугуруслан-Бузулук-Уральск км 24+406 - км 241+143,1
автомобильная дорога Бугульма-Бугуруслан-Бузулук-Уральск,1
Илек-Ташла-Соболево,1
Ивановка-Сорочинск-Ташла,1
Таловое-Курлин,1
Каменноозерное,1
г. Медногорск,1
р. Ток,1
р. Джуса,1
Богородский  округ,1
Верхнекамский округ,1
Володарский округ,1
река Вьюница,1
Кувандыкский округ,1
с. Нежинка,1
Усмангали,1
Габдюково,1
Ассы,1
Бриштамак,1
Ишля,1
Улуелга,1
Отнурок,1
участок автомобильной дороге Р-240 Уфа-Оренбург,1
участок автомобильной дороги М-5 «Урал» Москва – Рязань – Пенза – Самара – Уфа – Челябинск,1
Благоварский район,1
Р-240 Уфа-Оренбург,1
Шакша,1
Бирский тракт,1
Ира-Магнитогорск,1
Сабырово,1
Республика Марий Эл,1
автомобильная дорога А-310,1
трасса Р-240 Уфа — Оренбург,1
Оршанский  район,1
Параньгинский район,1
Большеберезники,1
река Уркат,1
город Казани,1
г.Казани,1
Алькеевский район,1
Республика Татарстан,1
северные района Татарстана,1
восточные районы Татарстана,1
Тетюшский  район,1
"федеральная дорога М-5 ""Урал""",1
Нефтегорск,1
п.Михайловский,1
городской пруд,1
река Сюга,1
реки Кильмезь,1
по югу области,1
улицы,1
Шемуршинский  округ,1
федеральная автомобильная дорога М-7 «Волга-Уфа»,1
Похвалинский съезд,1
город Саров,1
город Лысково,1
с.Сеченов,1
с.Липовка,1
Шемарино,1
д.Сарбаево,1
Княжуха,1
Скрипино,1
Обуховка,1
с.Алферьево,1
В.Талызино,1
с.Митрополье,1
с.Красное,1
с.Болховское,1
д.Ивановка,1
Искринский теротдел,1
Адамовка,1
Дубовый Плес,1
"СНТ ""Лесные дачи""",1
СНТ «Дубовый плёс»,1
микрорайон СМУ,1
садовые товарищества,1
СНТ «Уралочка»,1
Самарская область,1
школа Экодолье,1
п. Беково,1
город Пенза,1
Татарско-Шелдаисский сельсовет,1
с. Русский Шелдаис,1
с. Русский Пимбур,1
г. Березники,1
д. Канюсята,1
город Кудымкар,1
Родники,1
Половодово,1
с.Толбазы,1
д.Ишлы,1
с. Целинный,1
с. Нижний Авзян,1
река Большой Авзян,1
Бижбуляк,1
с. Осиповка,1
г. Кумертау,1
реки Уршак,1
река Узень,1
д.Вязовка,1
с.Ильтеряково,1
д.Константиновка,1
с. Булгаково,1
Волжск,1
д. Малый Карамас,1
Кадошкино,1
улица Энгельса,1
Мордовский заповедник,1
город Альметьевск,1
Лаишево,1
Кощаково,1
с. Надеждино,1
с. Кибячи,1
Пестрцы,1
поселения Волжского района,1
Семеновка,1
с. Чёрновка,1
г. Новокуйбышевск,1
г. Чапаевск,1
Город Отрадный,1
п.Октябрьский,1
г.Похвистнево,1
Стюхино,1
Расково,1
Калининск,1
с. Сулак,1
Лысые Горы,1
Новые Бурасы,1
Ртищевский район,1
Куцеба,1
Тараховка,1
п. Кез,1
п. Балезино,1
п. Можга,1
Папузы,1
Вешкайм,1
р.п. Карсун,1
с. Телятниково,1
Коптевка,1
Фабричные Выселки,1
Троицкосунгурское поселение,1
Павловка,1
Павловский район Ульяновской области,1
Старая Майна,1
с. Степное Анненково,1
г. Алатырь,1
Ибресинский округ,1
с. Новое Чурашево,1
Порецкое,1
Сиява,1
Ряпино,1
Напольное,1
Кудеиха,1
Кожевенное,1
Долгая Поляна,1
Шадриха,1
Урмарский  округ,1
Цивильский округ,1
Кшаушский центральный сельский дом,1
д. Степное Тугаево,1
с. Милютино,1
Усть-Уда,1
д. Усть-Илга,1
д. Грузновка,1
Черемхово,1
Слюдянка,1
п. Тальники,1
п. Бугульдейка,1
п. Топольки,1
Лугавское,1
Токма,1
р. Непа,1
Зырянск,1
река Итанца,1
"детский оздоровительный лагерь ""Черёмушки""",1
Боград,1
"СНТ ""Красный Яр""",1
"СНТ ""Электрон""",1
"СНТ ""Жемчужина""",1
"СНТ ""Озерное""",1
Краснокаменский,1
Катангский район,1
автодорога М-54,1
Полысаевский городской округ,1
в центральных районах,1
в южных районах,1
в горных районах,1
Хадын,1
Хут,1
город Черногорск,1
Коммунальный мост,1
п. Тальменка,1
с. Новофирсово,1
река Маралиха,1
с. Нижнекаменка,1
п. Власиха,1
села Березово,1
села Макарьевка,1
села Солтон,1
Белово,1
Мазульский рудник,1
п. Верхняя Бирюса,1
Талнах,1
п. Солонцы,1
д. Погорелка,1
Еловое,1
ст. Минино,1
Придорожный,1
Сухая Балка,1
Совхоз Сибиряк,1
Раскаты,1
Старцево,1
Мужичкино,1
Вечерницы,1
Дрокино,1
Малый Кемчуг,1
Крутая,1
Шуваево,1
Логовой,1
Красный Пахарь,1
Творогово,1
Красное Знамя,1
Талое,1
Подолка,1
Худоногово,1
Бугачево,1
Куваршино,1
Борлок,1
с. Шарыпово,1
с. Холмогорское,1
д. Горбы,1
озеро Большое,1
Куйбышев,1
трассы Новосибирской области,1
Мочищенский сельсовет,1
с. Гауф,1
п. Входной,1
Кызыл-Озекское сельское поселение,1
правобережные дачные общества,1
Кок-Тей,1
Баян-Тала,1
Чадан,1
Ийме,1
Бажын-Алаак,1
Ишкин,1
Эйлиг-Хем,1
город Шагонар,1
горный хребет,1
гора Дукка,1
Архызское ущелье,1
поляна «Азау»,1
поляна «Чегет»,1
город Черкесск,1
с. Дружба,1
с. Чапаевское,1
горные и предгорные районы КЧР,1
Шатойский район,1
с. Ца-Ведено,1
дорога Тлярата-Камилух,1
между селами Тохота и Чорода,1
дорога местного значения Тлярата-Камилух,1
с. Чарода,1
с. Саниорта,1
Фий,1
автодорога местного значения Ретлоб-Кимиятли,1
Левашинский район,1
Рутул,1
автодорога Чалда-Карадах,1
дорога Кидеро-Шаури-Агвали,1
Тлярата,1
Гунибское шоссе-первал Вантляшевский,1
Чародинский район,1
автодорога республиканского значения Хебда-Тлярата,1
автодорога Мехельта-Тлярота,1
Верхний Баксан,1
поляна Азау,1
селение Кара-Су,1
Безенги,1
Куба-Таба,1
трасса А-155 Черкесск - Домбай,1
сельское поселение Заюково,1
сельское поселение Атажукино,1
сельское поселение Исламей,1
сельское поселение Нижний Куркужин,1
сельское поселение Верхний Куркужин,1
г. Беслан,1
Фарн,1
Хумалаг,1
с. Заюково,1
гора Утюг,1
с. Хив,1
с. Межгюль,1
с. Кондик,1
с. Куг,1
с. Чувек,1
с. Цнал,1
с. Юхари-Ярак,1
Кезеной-Ам,1
Кронштадтский корабельный фарватер,1
город Порхов,1
д.Абрамовская,1
г.Новодвинск,1
п.Булатово,1
п.Конёво,1
п.Самково,1
д.Перхачёво,1
д.Б.Тойнокурье,1
д.Окуловка,1
п.Плесецк,1
п.Североонежск,1
п.Оксовский,1
д. Сяпинская,1
с. Строевское,1
п. Сия,1
д. Горбачиха,1
д. Усть-Паденьга,1
д. Береговая горка,1
ул. Пролетарская,1
д. Бревенник,1
д. Дежневцев,1
д. Кузнецово,1
д. Малое Бурдуково,1
д. Городок,1
г. Няндома,1
п. Рочегда,1
п. Североонежск,1
д. Лукино,1
с. Шеговары,1
с. Холмогоры,1
п. Суходолье,1
горнолыжный комплекс ООО «Тирвас»,1
Кировский рудник КФ АО «Апатит»,1
Альшуты,1
Ямок,1
Б Рогатки,1
н.п. Тушитово,1
д. Вальтево,1
д. Чикинская,1
д. Подрадье,1
д. Юбра,1
река Суерь,1
Вологодский район,1
территория Вологодской области,1
г. Вологда,1
Нестеровский  округ,1
северо-запад Мурманской области,1
с. Варзуга,1
Тельвиска,1
центральные и северо-восточные районы Республики Карелия,1
акватории крупных водоемов,1
д. Зашеек,1
столица Карелии,1
Сортавальское поселение,1
"МР ""Троицко-Печорский""",1
населенные пункты Республики Коми,1
город Сыктывкар,1
ушинск,1
Интинский район,1
На крайнем северо-востоке,1
Пахурово,1
Прилуки,1
Майская Горка,1
Сульфат,1
Левый Берег,1
о.Бревенник,1
п. Зеленый бор,1
Варавино,1
Большая Маминская,1
п. Реваж,1
Пильегоры,1
Заборье,1
Холм,1
Вонга,1
Колотилово,1
Сосновский,1
Ермолово,1
Вохтога,1
д.Нова,1
д.Дуброво,1
д.Большая Дора,1
Курортный,1
Ораниенбаум,1
г. Зеленогорск,1
Горский ручей,1
г. Павловск,1
Центральный район Санкт-Петербурга,1
город Волхов,1
д. Грязно,1
д. Новое Поддубье,1
река Оредеж,1
город Оленегорск,1
п. Искателей,1
п. Красное,1
Чудовский район,1
Парфинский район,1
Веретье,1
Горки,1
Кладбище Казанское,1
проспект Октябрьский,1
ул. М. Кузьмина,1
ул. Новоселенинская,1
проспект Гагарина,1
Опочецкий район,1
Калевала,1
Юшкозерское сельское поселение,1
Муезерское городское поселение,1
Олонецкое городское поселение,1
район Сулажгорского кирпичного завода,1
Приладожье,1
Погранкондуши,1
Импилахти,1
Хийденсельга,1
Софпорог,1
Новый Софпорог,1
Коккосалма,1
Сегежский округ,1
г.Сегежа,1
п. Хелюля,1
Константиновка,1
Сосновая,1
Молодежная,1
п. Поляна,1
п. Керки,1
Усть–Вымский район,1
с. Хабариха,1
п. Греческий,1
п. Тюменский,1
п. Ольгинка,1
с. Новомихайловское,1
п. Зубова Щель,1
с. Зубова Щель,1
с. Марьина Роща,1
юго-восточные районы Калмыкии,1
г. Лагань,1
порт Керчь,1
х. Трудобеликовский,1
п. Ботаника,1
г.Курганинск,1
с. Карьерное,1
Симферопольское лесное хозяйство,1
село Чапаево,1
Сахарная Головка,1
п. Грушево,1
с. Татарская Башмаковка,1
п. Стеклозавода,1
п. Болдинский,1
с. Килинчи,1
с. Фунтово,1
в отдельных районах Волгоградской области,1
Старая Станица,1
п. Найдорф,1
Калининское сельское поселение,1
Куйбышевское сельское поселение,1
Новониколаевское сельское поселение,1
Джумайловское сельское поселение,1
Кырым,1
Черноморское,1
НовоШахтинск,1
автодороги Ростовской области,1
автодороги М-4 «Дон»,1
автодороги Р-260 «Волгоград – Каменск-Шахтинский – Луганск»,1
автодороги «Морозовск – Цимлянск – Волгодонск»,1
автодороги «Кашары – Первомайское – Милютинская – Морозовск»,1
Семикаракорский район,1
"СНТ ""КМЗ-1""",1
город Петухово,1
п. Папанинцев,1
п. Белокаменный,1
п. Лесозавод,1
река Тура,1
с. Меркушино,1
город Алапаевск,1
Верх-Исетский пруд,1
"участок А-310 ""Челябинск-Троицк-граница с Республикой Казахстан""",1
Толька,1
Восяхово,1
СНТ «Мясокомбинат-3»,1
СНТ «Локомотив»,1
Омский мост,1
Западный микрорайон,1
Галкинская,1
микрорайон Затобольный,1
город Катайск,1
СНТ 'Черёмушки-4',1
Передергина,1
левобережная часть Кургана,1
другие населённые пункты,1
курган,1
подтопляемые зоны Курганской области,1
речка Куртамыш,1
Лесниково,1
с. Сафакулево,1
Рачеевка,1
Патранино,1
Мануйлово,1
Белозерки,1
Первомайка,1
райцентр Целинный,1
ЦРБ,1
Чалкино,1
с. Озёрное,1
СНТ,1
Шатрово,1
дорожные службы,1
Силикатный,1
Монастырка,1
д. Боярка,1
д. Гагарка,1
д. Курманка,1
город ЗАТО Свободный,1
"автодорога ""Пермь-Екатеринбург""",1
Пермский тракт,1
Новолялинский городской округ,1
Динас,1
Магнитка,1
Хрустальная,1
Ельничный,1
Пильная,1
Прогресс,1
Красная горка,1
Косой брод,1
Станционный-Полевской,1
Чусовской тракт,1
трасса «Пермь-Екатеринбург»,1
Режевский тракт,1
Белоярский район,1
Горный Щит,1
Березовский городской округ,1
Верхнесалдинский городской округ,1
Тугулымский городской округ,1
дорога Первоуральск – Шаля,1
п.Восточный,1
с.Кошай,1
п.Гари,1
городской округ Сухой Лог,1
с. Рудянское,1
Салым,1
Приобье,1
Шеркалы,1
Унъюган,1
Талинка,1
Андра,1
Перегребное,1
Малый Атлым,1
Карымкары,1
Сергино,1
Каменное,1
река Казым,1
Таёжный,1
Алябьевский,1
Агириш,1
Малиновский,1
Зеленоборск,1
Кизильский,1
с. Париж,1
"федеральная трасса М5 ""Урал""",1
Зуевка,1
п. Потанино,1
п. Старокамышинск,1
Нязепетровск,1
Брединский район,1
Кизильский район,1
Карталинский район,1
Варненский район,1
Чесменский район,1
Троицкий район,1
Агаповский район,1
Верхнеуральский район,1
Нагайбакский район,1
Чесменское сельское поселение,1
Ямало-Ненецкий автономный округ,1
Теги,1
Сургут-Салехард,1
Донское лесничество,1
Спасское-Лутовиново,1
Юго-Западный административный округ,1
Южный административный округ,1
Юго-Восточный административный округ,1
Восточный административный округ,1
Северо-Восточный административный округ,1
база отдыха «Митино»,1
город Андреаполь,1
Андреаполь,1
поселок Сергиево-Посадского,1
поселок Богородский,1
Ахлебиновская роща,1
с. Ольговка,1
город Фурманов,1
с. Шуберское,1
Кинешма,1
Московское метро,1
Московская канатная дорога,1
жилой дом,1
Перевоз,1
реки Десна и Болва,1
реки Болва,1
с. Супонево,1
река Десна,1
река Снежеть,1
Католино,1
п. Белая Берёзка,1
Карачевский,1
Выгоничский,1
Климовский,1
Суземский район,1
квартал 7 выдел 22,1
Новая Жизнь,1
Жирятинское участковое лесничество,1
п. Малфа,1
Вихолка,1
Жуковское лесничество,1
р. Теза,1
р. Лух,1
река Нерль,1
н.п. Оболенское,1
н.п. Высокиничи,1
г. Обнинск,1
Панкратово,1
г. Солигалич,1
д. Михалкино,1
р. Шарьинка,1
Якшанга,1
река Якшанга,1
п. Ветлужский,1
Нейский район,1
д. Майская заря,1
с. Чекмаревка,1
п. Износково,1
д. Шумаково,1
г. Липецк,1
Володаровка,1
Ратчино,1
Селище,1
Пятницкое,1
река Быстрая Сосна,1
Калиновка,1
Большая Боевка,1
м. Измайловская,1
м. Первомайская,1
Измайловская,1
Первомайская,1
метро,1
г. Истра,1
г. Рузский,1
г. Наро-Фоминск,1
г. Волоколамск,1
ДНП 'Мечтаево',1
города Можайск,1
река Городянка,1
река Руза,1
Горетовское,1
городской округ Балашиха,1
Рахманово,1
Дудкино,1
река Рака,1
Старо-Рязанские Дворики,1
населённый пункт Ширино,1
вблизи города Ряжск,1
Покровское,1
река Малая Мостья,1
р.п. Кадом,1
п. Остров,1
село Агро-Пустынь,1
с. Рачатники,1
р. Тырница,1
н.п. Скит Свято - Данилова монастыря,1
с. Алешино,1
Мелекшино,1
река Цна,1
д. Черняевка,1
д. Марфинка,1
д. Кипчаково,1
с. Станищи,1
п. Красная Яблонька,1
с. Черняевка,1
р. Ранова,1
мост вблизи населенного пункта Шелемишево,1
низководный мост,1
населенный пункт Скит Свято-Данилова монастыря,1
д. Подвислово,1
деревня Быково,1
д. Озерный,1
г. Ярцево,1
река Остер,1
Автодорога Дорогобуж – Полибино – Васино,1
река Воря,1
Ильино,1
река Сежа,1
квартал 38 выдел 5,1
Кардымовское участковое лесничество,1
Шокинское участковое лесничество,1
Сутоки,1
Туманово,1
Капыревщина,1
город Вязьма,1
д. Егорье,1
д. Бывалицы,1
с. Лобаново,1
с. Иноземка,1
Вязово,1
д. Заречье,1
река Сухая Табола,1
городской округ Тула,1
Парсуково,1
река Полянка,1
автомобильная дорога «Ханино-Красное Михайлово»,1
"дорога ""Ханино-Красное Михайлово""",1
Гаврилово,1
Бельский район,1
Селижаровский район,1
г. Калач,1
река Подгорная,1
с. Губари,1
Леонтьево,1
Шишкино,1
Малинники,1
д. Леонтьево,1
г. Любим,1
д. Пищалино,1
Епихарка,1
Лутовиновка,1
"СНТ ""Испытатель""",1
объездная дорога,1
с. Казачья Слобода,1
район д. Новое,1
река Упа,1
г. Тверь,1
восточные районы Тверской области,1
г. Владимир,1
Алексеевский городской округ,1
Борисовский район,1
Валуйский городской округ,1
п. Красная Яруга,1
река Ипуть,1
река Судость,1
"автодорога ""Подъезд к аэропорту Брянска""",1
Клетнянский район,1
город Ковров,1
восток Владимирской области,1
северо-восток Владимирской области,1
город Камешково,1
город Киржач,1
г. Суздаль,1
п. Боголюбово,1
д. Раменье,1
с. Добрынское,1
Левобережное кладбище,1
Березовское кладбище,1
Буденовское кладбище,1
Старохворостанское сельское поселение,1
х. Ясиновка,1
п. Раковка,1
п. Большие Базы,1
п. Малые Базы,1
п. Заболотовка,1
п. Ольховатка,1
городские поселения,1
город Россошь,1
реки Сухая Россошь,1
река Черная Калитва,1
Семилукский район,1
центр Москвы,1
Красносельское,1
Верхняя Манома,1
д. Доможирово,1
Спас-Загорье,1
мемориал «Безымянная высота»,1
п. Пятовский,1
Ленина,1
К. Маркса,1
Ломоносова,1
Чапаева,1
Горького,1
Казанской,1
Воровского,1
Вятка,1
п. Широковский,1
п. Костино,1
Город Таруса,1
с. Дудоровский,1
Уколица,1
Заречье,1
Мелихово,1
Буйский  район,1
Волгореченск,1
Костромской  район,1
Сусанинский  район,1
Чухломский район,1
Беловский район,1
к территориями Курской области,1
Курская область,1
п. Горшечное,1
территория всего региона,1
улица,1
г. Щигры,1
деревни Никольское,1
Воловский,1
Данковский,1
Грязинский,1
Елецкий,1
Измалковский,1
Краснинский,1
Лебедянский,1
Тербунский,1
Усманский,1
Чаплыгинский,1
Данков,1
Добринский МР,1
Добровский район,1
Черкассы,1
Краснинский район,1
Тербунский район,1
с. Березняговка,1
г.о. Балашиха,1
Балабиха,1
Балшика,1
г.о. Бронницы,1
СНТ «Росинка»,1
СНТ «Прибор»,1
СНТ «Нерское»,1
ТСН «Автомобилист»,1
СНТ «Колыберево»,1
СНТ «Сталь 2»,1
Барановское,1
московская область,1
город Восход,1
г. Яхрома,1
г. Дмитров,1
р. Яхрома,1
р. Березовец,1
Новые Водники,1
Военный городок,1
Шереметьевский,1
Павельцево,1
Хлебниково,1
с. Константиново,1
с. Никитское,1
с. Красный путь,1
с. Битягово,1
д. Образцово,1
д. Мотякино,1
д. Скрипино,1
Руза,1
г. Жуковский,1
г.о. Жуковский,1
Рождествено,1
Зеленый Курган,1
Глебово-Избище,1
Алексино,1
Сокольники,1
Огниково,1
Павловская Слобода,1
д. Филатово,1
Ядромино,1
Рубцово,1
Рыжково,1
Лужки,1
Румянцево,1
Зеленково,1
СНТ «Дубрава»,1
Ожерелье,1
Зендиково,1
Богатищево,1
п. Озера,1
п. Пески,1
п. Радужный,1
с. Нижнее Хорошово,1
Бобреневский наплавной мост,1
п. Озеры,1
город Котельники,1
г. Пушкинский,1
кругом Московской области,1
г. Видное,1
д. Сапроново,1
д. Боброво,1
с. Остров,1
город Видное,1
Можайский округ,1
Раменский,1
река Нерская,1
Орехово-Зуевский округа,1
